algo,dataset,n,millis,comparisons,moves,sorted
HEAP,RANDOM,1000,0,16885,27285,true
MERGE,RANDOM,1000,1,8722,19952,true
QUICK,RANDOM,1000,0,12520,9083,true
TREE,RANDOM,1000,2,0,2000,true
INTRO,RANDOM,1000,0,12520,9083,true
HEAP,RANDOM,1000,1,16874,27237,true
MERGE,RANDOM,1000,0,8669,19952,true
QUICK,RANDOM,1000,0,12235,9048,true
TREE,RANDOM,1000,1,0,2000,true
INTRO,RANDOM,1000,1,12235,9048,true
HEAP,RANDOM,1000,0,16876,27312,true
MERGE,RANDOM,1000,1,8750,19952,true
QUICK,RANDOM,1000,0,11944,8976,true
TREE,RANDOM,1000,1,0,2000,true
INTRO,RANDOM,1000,0,11944,8976,true
HEAP,RANDOM,5000,2,107602,171318,true
MERGE,RANDOM,5000,2,55239,123616,true
QUICK,RANDOM,5000,2,81909,52556,true
TREE,RANDOM,5000,6,0,10000,true
INTRO,RANDOM,5000,3,81909,52556,true
HEAP,RANDOM,5000,1,107745,171282,true
MERGE,RANDOM,5000,7,55174,123616,true
QUICK,RANDOM,5000,2,81217,53371,true
TREE,RANDOM,5000,5,0,10000,true
INTRO,RANDOM,5000,2,81217,53371,true
HEAP,RANDOM,5000,1,107690,171261,true
MERGE,RANDOM,5000,7,55225,123616,true
QUICK,RANDOM,5000,1,75128,53064,true
TREE,RANDOM,5000,4,0,10000,true
INTRO,RANDOM,5000,1,75128,53064,true
HEAP,RANDOM,10000,2,235502,372921,true
MERGE,RANDOM,10000,2,120585,267232,true
QUICK,RANDOM,10000,3,184180,112403,true
TREE,RANDOM,10000,8,0,20000,true
INTRO,RANDOM,10000,3,184180,112403,true
HEAP,RANDOM,10000,2,235450,372879,true
MERGE,RANDOM,10000,1,120446,267232,true
QUICK,RANDOM,10000,3,166311,113746,true
TREE,RANDOM,10000,6,0,20000,true
INTRO,RANDOM,10000,1,166311,113746,true
HEAP,RANDOM,10000,2,235383,372885,true
MERGE,RANDOM,10000,1,120435,267232,true
QUICK,RANDOM,10000,3,188117,110883,true
TREE,RANDOM,10000,7,0,20000,true
INTRO,RANDOM,10000,1,188117,110883,true
HEAP,NEARLY_SORTED,1000,0,17544,29028,true
MERGE,NEARLY_SORTED,1000,0,7102,19952,true
QUICK,NEARLY_SORTED,1000,0,7244,2172,true
TREE,NEARLY_SORTED,1000,1,0,2000,true
INTRO,NEARLY_SORTED,1000,0,7244,2172,true
HEAP,NEARLY_SORTED,1000,0,17542,29070,true
MERGE,NEARLY_SORTED,1000,0,7172,19952,true
QUICK,NEARLY_SORTED,1000,0,7429,2152,true
TREE,NEARLY_SORTED,1000,0,0,2000,true
INTRO,NEARLY_SORTED,1000,0,7429,2152,true
HEAP,NEARLY_SORTED,1000,1,17539,28998,true
MERGE,NEARLY_SORTED,1000,0,6929,19952,true
QUICK,NEARLY_SORTED,1000,0,7220,2154,true
TREE,NEARLY_SORTED,1000,0,0,2000,true
INTRO,NEARLY_SORTED,1000,0,7220,2154,true
HEAP,NEARLY_SORTED,5000,1,111942,181662,true
MERGE,NEARLY_SORTED,5000,0,47750,123616,true
QUICK,NEARLY_SORTED,5000,0,50639,11094,true
TREE,NEARLY_SORTED,5000,3,0,10000,true
INTRO,NEARLY_SORTED,5000,0,50639,11094,true
HEAP,NEARLY_SORTED,5000,1,111933,181698,true
MERGE,NEARLY_SORTED,5000,0,48730,123616,true
QUICK,NEARLY_SORTED,5000,0,50539,11084,true
TREE,NEARLY_SORTED,5000,2,0,10000,true
